iter	Logloss
0	0.6365986803
1	0.5818193814
2	0.5370549425
3	0.4991717418
4	0.4716062721
5	0.4491168224
6	0.4273571612
7	0.4083686507
8	0.3914088806
9	0.3764656995
10	0.3661601647
11	0.3558210937
12	0.3478102112
13	0.3392234756
14	0.3331343332
15	0.3272560651
16	0.3210835136
17	0.316538455
18	0.3108282203
19	0.3072449346
20	0.3033924433
21	0.3005525704
22	0.2972332414
23	0.2942299598
24	0.2912544516
25	0.2881747159
26	0.2850145301
27	0.2823517378
28	0.2802270013
29	0.2776671153
30	0.2761624214
31	0.2738366609
32	0.2715248543
33	0.27006359
34	0.2677814357
35	0.2661740062
36	0.2646189566
37	0.2628315573
38	0.2609986415
39	0.2598022802
40	0.2586732614
41	0.2571804232
42	0.2561163886
43	0.2547821196
44	0.2533559662
45	0.2524200219
46	0.2514928541
47	0.2506454522
48	0.2498721036
49	0.2491467228
50	0.2482901364
51	0.2473069561
52	0.2461854184
53	0.2451732916
54	0.2443364059
55	0.2437301991
56	0.2431400335
57	0.2425036436
58	0.2418879985
59	0.2413672979
60	0.2404742719
61	0.2398651702
62	0.2392146098
63	0.2386846
64	0.2380782752
65	0.2374704234
66	0.236898973
67	0.2363520767
68	0.2358291193
69	0.235339919
70	0.2349301496
71	0.234522543
72	0.233967442
73	0.2334624493
74	0.2329727645
75	0.2325714314
76	0.2321548649
77	0.231698918
78	0.2311613323
79	0.2306609645
80	0.2302561901
81	0.2298362664
82	0.2294929439
83	0.2290497302
84	0.2287497701
85	0.228341471
86	0.2279590203
87	0.2275564628
88	0.2271423399
89	0.2268382033
90	0.2263942901
91	0.2260456298
92	0.2257705471
93	0.2255142396
94	0.2250893696
95	0.2247910986
96	0.2242541754
97	0.2239109112
98	0.2235714754
99	0.2231510243
100	0.2228661233
101	0.222530445
102	0.2222911464
103	0.2219383985
104	0.2215046867
105	0.2210867173
106	0.2207679003
107	0.2204830866
108	0.220108157
109	0.2197973151
110	0.219522565
111	0.2192025997
112	0.21893201
113	0.2186687837
114	0.2184137314
115	0.2181056305
116	0.21786414
117	0.2176213712
118	0.2172943927
119	0.2170256944
120	0.216632708
121	0.2162478263
122	0.2160328505
123	0.215815394
124	0.2155688343
125	0.2152856727
126	0.2147978709
127	0.2146186343
128	0.2144665809
129	0.2142716946
130	0.2140428744
131	0.2138247618
132	0.2136433225
133	0.2133417373
134	0.2131369129
135	0.2128768706
136	0.2126683412
137	0.2124517585
138	0.2120698953
139	0.2118716828
140	0.211710479
141	0.2114314723
142	0.2112669163
143	0.2109755541
144	0.2107842044
145	0.2105834285
146	0.2103573181
147	0.2101218592
148	0.2099263007
149	0.2097266418
150	0.2095318984
151	0.2093437742
152	0.2090285887
153	0.2088861029
154	0.2087241445
155	0.2085537642
156	0.2083527902
157	0.20819184
158	0.2079513717
159	0.2076720289
160	0.2075259898
161	0.207301132
162	0.2071788042
163	0.2070403985
164	0.2067604761
165	0.2065513704
166	0.2063144314
167	0.2061626292
168	0.2059996153
169	0.2057785563
170	0.2056684019
171	0.2054572744
172	0.2052466059
173	0.2050570348
174	0.2048967933
175	0.2047494516
176	0.2045254462
177	0.2042451055
178	0.2040302357
179	0.2038191485
180	0.2036705534
181	0.2034986591
182	0.2033812549
183	0.2031081312
184	0.2029222873
185	0.2027514952
186	0.2026218102
187	0.2023745677
188	0.2022161267
189	0.2020736649
190	0.2018759147
191	0.2017208377
192	0.2015326972
193	0.2013442529
194	0.2011993054
195	0.2009802057
196	0.2008104657
197	0.2006617554
198	0.2005181134
199	0.2003063054
200	0.2001673633
201	0.2000018417
202	0.1999032244
203	0.1996704433
204	0.1994698775
205	0.1993369158
206	0.199186871
207	0.1990586177
208	0.1989056409
209	0.1987851279
210	0.1986554468
211	0.1984959678
212	0.1982953382
213	0.1981759415
214	0.1980431918
215	0.1978726388
216	0.1977490897
217	0.1975486042
218	0.1973770759
219	0.1972145386
220	0.1970537727
221	0.1968841221
222	0.1966801293
223	0.1965313527
224	0.1964150876
225	0.1962538241
226	0.1960871176
227	0.1959714768
228	0.1958659881
229	0.1957483284
230	0.195612387
231	0.1955150113
232	0.1954001295
233	0.195290986
234	0.1951947513
235	0.1950694202
236	0.1949031239
237	0.1947866406
238	0.1946763165
239	0.1945760269
240	0.1944478201
241	0.1943378552
242	0.1941901924
243	0.19407914
244	0.1939444293
245	0.1938613847
