iter	Passed	Remaining
0	2	1576
1	5	1746
2	8	1778
3	11	1730
4	14	1759
5	17	1766
6	19	1741
7	22	1723
8	24	1716
9	27	1697
10	30	1692
11	33	1696
12	35	1693
13	38	1708
14	41	1708
15	44	1704
16	47	1705
17	50	1707
18	53	1712
19	56	1713
20	59	1710
21	62	1714
22	65	1710
23	67	1709
24	70	1708
25	73	1707
26	76	1708
27	79	1706
28	82	1707
29	85	1706
30	88	1707
31	91	1707
32	94	1708
33	97	1711
34	101	1712
35	104	1715
36	107	1714
37	110	1709
38	112	1704
39	115	1701
40	118	1696
41	121	1692
42	124	1687
43	126	1684
44	129	1679
45	132	1672
46	135	1671
47	137	1666
48	140	1662
49	143	1657
50	146	1653
51	148	1648
52	151	1647
53	154	1643
54	156	1635
55	159	1629
56	162	1625
57	164	1619
58	167	1614
59	169	1608
60	172	1605
61	175	1600
62	177	1593
63	180	1588
64	182	1583
65	185	1578
66	187	1573
67	190	1569
68	193	1564
69	195	1559
70	198	1554
71	200	1549
72	203	1544
73	206	1542
74	208	1539
75	211	1537
76	214	1534
77	217	1531
78	219	1528
79	222	1523
80	225	1521
81	227	1517
82	230	1514
83	233	1511
84	236	1508
85	238	1503
86	241	1498
87	243	1496
88	246	1492
89	249	1489
90	251	1483
91	253	1478
92	256	1473
93	258	1467
94	261	1464
95	263	1462
96	266	1459
97	269	1455
98	271	1452
99	274	1449
100	277	1446
101	279	1442
102	282	1440
103	285	1439
104	288	1437
105	291	1436
106	295	1436
107	298	1435
108	300	1432
109	303	1430
110	306	1429
111	310	1428
112	313	1427
113	316	1425
114	319	1424
115	322	1423
116	325	1421
117	328	1419
118	331	1415
119	333	1413
120	336	1411
121	339	1407
122	342	1405
123	345	1402
124	347	1399
125	350	1397
126	353	1393
127	355	1390
128	358	1387
129	361	1384
130	363	1380
131	367	1379
132	370	1377
133	372	1374
134	375	1372
135	378	1368
136	381	1366
137	384	1364
138	386	1359
139	389	1356
140	391	1353
141	394	1351
142	397	1349
143	400	1346
144	403	1344
145	406	1340
146	408	1338
147	411	1335
148	414	1333
149	417	1330
150	420	1327
151	422	1324
152	425	1320
153	428	1318
154	431	1315
155	434	1313
156	436	1310
157	439	1307
158	442	1305
159	445	1302
160	448	1299
161	450	1296
162	453	1293
163	456	1290
164	458	1287
165	461	1284
166	464	1281
167	466	1278
168	469	1275
169	472	1272
170	475	1269
171	477	1266
172	481	1265
173	483	1262
174	486	1259
175	489	1256
176	492	1253
177	494	1250
178	497	1247
179	500	1244
180	502	1241
181	505	1239
182	509	1237
183	512	1237
184	516	1237
185	520	1236
186	523	1234
187	526	1231
188	528	1227
189	530	1223
190	533	1219
191	535	1217
192	538	1214
193	541	1211
194	544	1208
195	547	1205
196	550	1204
197	553	1201
198	556	1198
199	558	1196
200	561	1193
201	564	1190
202	567	1187
203	570	1185
204	573	1182
205	576	1180
206	578	1177
207	581	1174
208	584	1172
209	587	1169
210	590	1167
211	593	1164
212	596	1162
213	599	1159
214	602	1156
215	605	1154
216	608	1151
217	611	1149
218	614	1146
219	617	1144
220	619	1141
221	622	1139
222	626	1137
223	629	1134
224	632	1132
225	635	1130
226	638	1127
227	640	1124
228	643	1121
229	646	1118
230	649	1115
231	651	1112
232	654	1109
233	657	1106
234	660	1103
235	662	1101
236	665	1098
237	668	1095
238	671	1092
239	674	1090
240	677	1087
241	679	1084
242	682	1081
243	685	1078
244	688	1076
245	691	1073
